Budget,Team_Size,Timeline,Priority,Domain,Risk
770487,5,3,High,E-Commerce,Low
334053,6,6,Low,Manufacturing,Low
542417,3,3,Low,E-Commerce,Low
343962,18,22,Low,Retail,Medium
308496,24,23,Critical,E-Commerce,High
571029,20,11,Low,Education,Low
832052,15,13,High,Education,Low
325772,12,6,Low,AI,Low
201414,13,14,High,Healthcare,Medium
865179,16,20,Low,AI,Low
182627,19,12,High,Manufacturing,Medium
301629,24,5,Low,E-Commerce,Low
910620,11,5,Medium,Finance,Low
498591,10,17,High,Education,Medium
488162,13,9,High,Finance,Low
738720,22,8,Medium,Education,Low
584714,14,11,Medium,Agriculture,Low
983794,3,10,Low,Agriculture,Low
520651,10,5,Medium,Manufacturing,Low
852787,12,9,Critical,AI,Low
774079,16,7,High,Education,Low
358607,25,20,High,Manufacturing,Medium
549245,20,15,High,E-Commerce,Low
245051,18,18,Low,Healthcare,Medium
214975,6,23,Medium,AI,High
725380,4,15,Critical,Manufacturing,High
590785,18,11,Low,Finance,Low
814825,19,11,High,Finance,Low
407757,15,8,Critical,Healthcare,Medium
857168,25,11,Medium,Retail,Low
211579,22,12,Medium,Education,Low
492077,7,20,Low,Manufacturing,Medium
439902,17,3,Low,Agriculture,Low
972064,11,10,Low,E-Commerce,Low
694916,4,5,Critical,Finance,Medium
897549,19,7,Medium,Cybersecurity,Low
676510,7,11,Critical,E-Commerce,Medium
665492,25,9,High,AI,Low
804314,22,14,Critical,Retail,Medium
573417,5,10,Medium,Finance,Low
454508,2,21,Medium,Manufacturing,High
330914,2,5,Low,E-Commerce,Medium
170674,3,13,Low,Retail,High
349565,10,24,Critical,E-Commerce,High
665427,6,21,Critical,E-Commerce,High
922733,17,16,Medium,Finance,Low
201639,23,16,High,AI,Medium
531071,16,4,Low,Healthcare,Low
522179,25,13,Low,E-Commerce,Low
300896,8,20,Critical,Education,High
542374,7,11,Critical,E-Commerce,Medium
179046,16,20,Low,Healthcare,Medium
783823,19,3,Low,E-Commerce,Low
274389,15,18,Critical,E-Commerce,High
520521,3,8,Critical,Healthcare,Medium
509386,10,17,High,AI,Low
830429,25,20,Critical,Education,Medium
299122,11,9,Low,Manufacturing,Low
871476,19,4,High,Healthcare,Low
152578,20,18,Medium,Healthcare,Medium
632496,4,8,Low,Manufacturing,Low
171262,23,10,Critical,Finance,Medium
697347,9,21,Low,Manufacturing,Low
185965,15,24,High,Logistics,High
314181,23,13,Medium,Logistics,Low
515011,6,24,High,Cybersecurity,Medium
431535,4,3,Critical,Manufacturing,High
690341,5,5,Medium,Retail,Low
378082,6,14,Low,E-Commerce,Medium
487477,11,8,Critical,Retail,Medium
837715,11,22,Low,Retail,Low
413921,23,6,Medium,Logistics,Low
221035,5,20,Medium,Logistics,High
395442,21,9,High,E-Commerce,Low
820892,22,11,Critical,Logistics,Low
987204,3,5,Critical,Logistics,Medium
146228,2,13,Medium,Logistics,High
269430,25,17,Critical,Retail,High
110139,5,5,Medium,Retail,Medium
137778,13,21,Medium,AI,Medium
233636,3,12,High,Healthcare,High
475190,8,24,Medium,Finance,Medium
470858,19,16,Medium,E-Commerce,Low
270395,7,16,Low,Education,Medium
872343,12,16,Medium,Logistics,Low
266931,24,6,Critical,Healthcare,Medium
593554,9,9,Critical,Agriculture,Low
420015,9,10,Low,E-Commerce,Low
517821,12,11,Low,Logistics,Low
468203,22,19,Critical,Retail,High
447235,2,6,High,Education,Medium
708792,10,4,Low,Manufacturing,Low
555673,13,13,Critical,Manufacturing,Medium
636265,5,15,Medium,Logistics,Low
146542,24,16,Low,Retail,Medium
945687,19,24,Medium,Agriculture,Low
552248,4,24,High,Manufacturing,High
429164,23,6,High,Retail,Low
424308,23,16,High,AI,Medium
831076,11,20,Medium,E-Commerce,Low
540869,23,15,Medium,Manufacturing,Low
696750,11,15,Low,Logistics,Low
400850,8,16,High,Cybersecurity,Medium
563246,16,24,Medium,Retail,Low
596171,25,8,Low,Logistics,Low
640490,23,23,High,Finance,Medium
958179,9,24,High,E-Commerce,Medium
945742,8,7,Low,Healthcare,Low
356736,17,22,Low,Cybersecurity,Medium
534572,22,21,Medium,AI,Low
618392,14,10,Medium,Healthcare,Low
887443,5,16,Medium,Education,Low
943170,24,19,Critical,Healthcare,Medium
684482,9,6,Critical,Education,Low
940346,16,24,High,Cybersecurity,Medium
742412,25,19,Critical,Retail,Medium
567574,7,18,Critical,Logistics,Medium
888295,9,23,High,Retail,Medium
608136,22,10,High,Cybersecurity,Low
181247,24,12,Medium,Logistics,Low
452161,12,20,Low,Education,Medium
258157,9,15,Medium,E-Commerce,Medium
167348,15,16,High,Retail,Medium
588557,15,4,Medium,AI,Low
508396,20,3,Critical,Cybersecurity,Low
106182,13,12,Critical,AI,Medium
664365,25,20,Medium,Cybersecurity,Low
330080,10,16,Critical,Healthcare,Medium
507746,12,24,Critical,Education,Medium
981334,16,7,Low,AI,Low
720644,20,24,Low,Finance,Low
773971,15,7,Critical,Education,Low
152727,10,15,High,E-Commerce,Medium
576786,12,13,Critical,Logistics,Medium
888539,15,11,Low,Cybersecurity,Low
120324,25,20,Low,Agriculture,Medium
335113,22,5,Low,Healthcare,Low
359295,8,3,Medium,E-Commerce,Low
232352,17,24,Low,Manufacturing,Medium
328552,16,11,High,Education,Low
735324,21,6,Medium,Logistics,Low
213349,20,3,High,Manufacturing,Medium
810250,14,15,Medium,Finance,Low
720859,24,23,Medium,Finance,Low
831059,11,24,Low,Manufacturing,Low
920652,3,14,Critical,Agriculture,High
172306,18,23,High,Healthcare,High
990844,15,18,Low,AI,Low
479781,22,17,Medium,AI,Low
284692,25,19,High,Manufacturing,High
947458,19,18,Critical,AI,Medium
965845,25,21,High,Agriculture,Medium
993085,9,5,High,Cybersecurity,Low
355709,16,21,Critical,Agriculture,High
130094,17,13,Medium,Cybersecurity,Medium
322423,13,11,High,Logistics,Low
725113,24,11,Low,Retail,Low
300337,4,10,Critical,Cybersecurity,High
682144,9,18,Critical,Cybersecurity,Medium
931450,2,5,High,E-Commerce,Medium
524045,24,10,High,Manufacturing,Low
486945,17,20,High,AI,Medium
882169,19,13,High,Cybersecurity,Low
